,Borough,Neighbourhood
0,Centre,Bangalore Cantonment
1,Centre,Domlur
2,Centre,Indiranagar
3,Centre,Jeevanbheemanagar
4,Centre,Malleswaram
5,Centre,Bengaluru Pete
6,Centre,Seshadripuram
7,Centre,Shivajinagar
8,Centre,Ulsoor
9,Centre,Vasanth Nagar
10,East,Bellandur
11,East,CV Raman Nagar
12,East,Hoodi
13,East,Krishnarajapuram
14,East,Mahadevapura
15,East,Marathahalli
16,East,Varthur
17,East,Whitefield
18,North East,Banaswadi
19,North East,HBR Layout
20,North East,Horamavu
21,North East,Kalyan Nagar
22,North East,Kammanahalli
23,North East,Lingarajapuram
24,North East,Ramamurthy Nagar
25,North,Hebbal
26,North,Jalahalli
27,North,Mathikere
28,North,Peenya
29,North,R. T. Nagar
30,North,Vidyaranyapura
31,North,Yelahanka
32,North,Yeshwanthpur
33,South East,Bommanahalli
34,South East,Bommasandra
35,South East,BTM Layout
36,South East,Electronic City
37,South East,HSR Layout
38,South East,Koramangala
39,South East,Madiwala
40,South,Banashankari
41,South,Basavanagudi
42,South,Girinagar
43,South,J. P. Nagar
44,South,Jayanagar
45,South,Kumaraswamy Layout
46,South,Padmanabhanagar
47,South,Uttarahalli
48,South suburbs,Anjanapura
49,South suburbs,Arekere
50,South suburbs,Begur
51,South suburbs,Gottigere
52,South suburbs,Hulimavu
53,South suburbs,Kothnur
54,West,Kamakshipalya
55,West,Kengeri
56,West,Mahalakshmi Layout
57,West,Nagarbhavi
58,West,Nandini Layout
59,West,Nayandahalli
60,West,Rajajinagar
61,West,Rajarajeshwari Nagar
62,West,Vijayanagar
